??,table_id,baseinfo_table_name_en,baseinfo_table_name_zh,baseinfo_sys_manage_id,baseinfo_classification_id,field_propert,field_name,sort
table_id ?????? baseinfo ?????,14043631cd36410e9f00a69bb438c7ca,nhsyl_update,当前报送期年化收益率修改清单,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,projcode,产品代码,0
table_id ?????? baseinfo ?????,14043631cd36410e9f00a69bb438c7ca,nhsyl_update,当前报送期年化收益率修改清单,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,projname,项目名称,1
table_id ?????? baseinfo ?????,14043631cd36410e9f00a69bb438c7ca,nhsyl_update,当前报送期年化收益率修改清单,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,nhsy_new,年化收益率_新,2
table_id ?????? baseinfo ?????,14043631cd36410e9f00a69bb438c7ca,nhsyl_update,当前报送期年化收益率修改清单,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,caldate,数据日期,3
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,projcode,项目编号,0
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,projname,项目名称,1
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,wms_name,理财子公司名称,2
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,date_source,数据来源,3
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,cldate,数据日期,4
table_id ?????? baseinfo ?????,29294dae61e3402cb52b4cfdcd489cfd,wms_coop_stat_pboc,理财子公司合作列表,zbbs24,e79bc547e1704bfcb18271d112fd5db7,tbtime,创建时间,5
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,jgname,机构名称,0
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,jgcode,金融机构代码,1
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,pz,产品品种,2
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,caldate,数据日期,3
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,tablename,表单号,4
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,zbname_hang,行项目,5
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,zbname_col,列项目,6
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,money_before,修正前金额,7
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,money_after,修正后金额,8
table_id ?????? baseinfo ?????,50d8b56d5a1b46ba97bb6e4a8a1830ef,bb_table_mb,人行修改报备表（模板）,zbbs24,c1c54a78bf7048c7a07e235bb7bf8d8f,ce,金额变动差额,9
