"Alias","Name","Length","LastWriteTime"
"result_01.xlsx","20250531-资管产品数据审核结果-模板校验（是）-公开信息校验（是）(Ver.20250425).xlsx","110682","2025/6/3 20:15:32"
"result_02.xlsx","20250630-资管产品数据审核结果-模板校验（是）-公开信息校验（是）(Ver.20250425).xlsx","128682","2025/7/3 14:32:27"
"result_03.xlsx","20250731-资管产品数据审核结果-模板校验（是）-公开信息校验（是）(Ver.20250425).xlsx","138447","2025/8/4 20:00:46"
"result_04.xlsx","20250831-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20250425).xlsx","83322","2025/9/3 20:49:14"
"result_05.xlsx","20250831-资管产品数据审核结果-模板校验（是）-公开信息校验（是）(Ver.20250425).xlsx","164094","2025/9/3 19:20:22"
"result_06.xlsx","20250930-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20250425).xlsx","91744","2025/10/9 15:57:30"
"result_07.xlsx","20250930-资管产品数据审核结果-模板校验（是）-公开信息校验（是）(Ver.20250425).xlsx","192180","2025/10/8 17:21:41"
"result_08.xlsx","20251031-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20250425).xlsx","92145","2025/11/4 10:22:07"
"result_09.xlsx","20251031-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20250425).xlsx","104021","2025/11/7 10:38:58"
"result_10.xlsx","20251130-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20250425).xlsx","89332","2025/12/3 17:20:52"
"result_11.xlsx","20251231-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20250425).xlsx","125062","2026/1/6 12:05:53"
"result_12.xlsx","20251231-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20250425).xlsx","135219","2026/1/5 10:48:53"
"result_13.xlsx","20260131-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20260202).xlsx","119874","2026/2/3 19:39:10"
"result_14.xlsx","20260131-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20260202).xlsx","128335","2026/2/3 18:49:19"
"result_15.xlsx","20260228-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20260202).xlsx","111689","2026/3/3 20:11:46"
"result_16.xlsx","20260331-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20260202).xlsx","136119","2026/4/3 11:47:39"
"result_17.xlsx","20260430-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20260202).xlsx","133286","2026/5/7 14:48:40"
"result_18.xlsx","20260531-资管产品数据审核结果-模板校验（否）-公开信息校验（否）(Ver.20260202).xlsx","130628","2026/6/4 19:38:26"
"result_19.xlsx","20260531-资管产品数据审核结果-模板校验（否）-公开信息校验（是）(Ver.20260202).xlsx","165620","2026/6/8 11:37:27"
"result_20.xlsx","20260531-资管产品数据审核结果-模板校验（是）-公开信息校验（否）(Ver.20260202).xlsx","130627","2026/6/8 16:23:43"
